,,,,,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt,Rec-Normalized,Yds-Normalized,TD-Normalized,Ctch%-Normalized,Y/Tgt-Normalized
18,Steve Largent*,1976,1989,4-117,SEA,NFL,200,197,,819,13089,15.98,100,65.4,,,0.3996710526315789,0.42432781495831867,0.4393063583815029,1.0,1.0
19,Irving Fryar,1984,2000,1-1,TOT,NFL,255,208,998,851,12785,15.02,84,50.1,,,0.42598684210526316,0.40648115533638607,0.3468208092485549,0.0003938725436948812,0.00046861881092076713
20,Art Monk*,1980,1995,1-18,TOT,NFL,224,194,241,940,12721,13.53,68,56.8,,,0.49917763157894735,0.4027239638370318,0.2543352601156069,0.0041175408097662595,0.003524163326164261
21,Jason Witten,2003,2017,3-69,DAL,NFL,239,229,1620,1152,12448,10.81,68,52.1,71.1%,7.68,0.6735197368421053,0.38669719384759893,0.2543352601156069,0.08622148154878323,7.64390413932697e-05
22,Brandon Marshall,2006,2018,4-119,TOT,NFL,179,158,1648,970,12351,12.73,83,69.0,58.9%,7.49,0.5238486842105263,0.3810027004813902,0.34104046242774566,0.07131561455439248,6.191562352854849e-05
23,Jimmy Smith,1992,2005,2-36,TOT,NFL,178,150,1463,862,12287,14.25,67,69.0,58.9%,8.40,0.4350328947368421,0.3772455089820359,0.24855491329479767,0.07131561455439248,0.00013147515119642394
24,Charlie Joiner*,1969,1986,4-93,TOT,TOT,239,211,,750,12146,16.19,65,50.8,,,0.34292763157894735,0.3689679464600211,0.23699421965317918,0.915696326015331,0.9279179839661467
25,Hines Ward,1998,2011,3-92,PIT,NFL,217,190,1558,1000,12083,12.08,85,55.7,64.2%,7.76,0.5485197368421053,0.3652694610778443,0.35260115606936415,0.07779111415031634,8.255416470473128e-05
26,Derrick Mason,1997,2011,4-98,TOT,NFL,230,169,1514,943,12061,12.79,66,52.4,62.3%,7.97,0.5016447368421053,0.3639779264999413,0.24277456647398843,0.07546970863479645,9.860636339731792e-05
27,Michael Irvin*,1988,1999,1-11,DAL,NFL,159,147,960,750,11904,15.87,65,74.9,,,0.34292763157894735,0.35476106610308794,0.23699421965317918,0.00030656886748693326,0.0004372313167695027
