,,,,,,,Games,Games,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
Rk,Player,From,To,Draft,Tm,Lg,G,GS,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts
188,Jason Staurovsky,1987,1992,,TOT,NFL,46,0,0,69,71,97.2,54,80,67.5,,,231
189,Tim Mazzetti,1978,1980,,ATL,NFL,42,0,0,95,104,91.3,45,68,66.2,,,230
190,Jake Elliott,2017,2018,5-153,PHI,NFL,31,0,0,72,77,93.5,52,62,83.9,,,228
191,Cole Ford,1995,1998,7-247,TOT,NFL,38,0,0,86,89,96.6,45,62,72.6,,,221
192,Scott Blanton,1996,1998,,WAS,NFL,33,0,0,78,78,100.0,44,60,73.3,,,210
193,Dick Bielski,1955,1963,1-9,TOT,NFL,114,44,12,58,62,93.5,26,65,40.0,,,208
194,Bob Khayat,1960,1963,6-69,WAS,NFL,40,,0,90,92,97.8,38,74,51.4,,,204
195,Booth Lusteg,1966,1969,,TOT,TOT,39,,0,97,101,96.0,35,75,46.7,,,202
196,Aldrick Rosas,2017,2018,,NYG,NFL,32,0,0,51,55,92.7,50,58,86.2,,,201
197,Bill Capece,1981,1983,12-324,TAM,NFL,37,0,0,67,72,93.1,43,70,61.4,,,196
198,Tim Seder,2000,2002,,TOT,NFL,28,0,2,50,50,100.0,44,62,71.0,,,194
199,Rich Szaro,1975,1979,,TOT,NFL,44,0,0,82,88,93.2,37,59,62.7,,,193
200,Luis Zendejas,1987,1989,,TOT,NFL,31,0,0,78,79,98.7,37,55,67.3,,,189
